f.destination_airport,ae.airport,cuenta
BQK,Brunswick Golden Isles Airport,879
ABY,Southwest Georgia Regional Airport,876
BRW,Wiley Post-Will Rogers Memorial Airport,855
SCC,Deadhorse Airport (Prudhoe Bay Airport),855
TWF,Magic Valley Regional Airport (Joslin Field),815
JMS,Jamestown Regional Airport,814
PLN,Pellston Regional Airport of Emmet County,752
PSE,Mercedita Airport,751
ERI,Erie International Airport,746
RDD,Redding Municipal Airport,727
GFK,Grand Forks International Airport,718
BLI,Bellingham International Airport,711
HDN,Yampa Valley Airport (Yampa Valley Regional),703
SWF,Stewart International Airport,690
RKS,Rock Springs-Sweetwater County Airport,690
ABR,Aberdeen Regional Airport,671
EAU,Chippewa Valley Regional Airport,668
BTM,Bert Mooney Airport,668
ORH,Worcester Regional Airport,668
BJI,Bemidji Regional Airport,667
CMX,Houghton County Memorial Airport,667
MKG,Muskegon County Airport,667
JLN,Joplin Regional Airport,666
PAH,Barkley Regional Airport,666
COD,Yellowstone Regional Airport,665
PSG,Petersburg James A. Johnson Airport,664
WRG,Wrangell Airport,664
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),663
OTZ,Ralph Wien Memorial Airport,663
OME,Nome Airport,663
GCK,Garden City Regional Airport,662
CDV,Merle K. (Mudhole) Smith Airport,662
YAK,Yakutat Airport,662
PIH,Pocatello Regional Airport,654
GGG,East Texas Regional Airport,643
CLD,McClellan-Palomar Airport,640
GRI,Central Nebraska Regional Airport,634
IMT,Ford Airport,621
SUX,Sioux Gateway Airport,620
ALO,Waterloo Regional Airport,618
CIU,Chippewa County International Airport,614
BRD,Brainerd Lakes Regional Airport,590
LWS,Lewiston-Nez Perce County Airport,587
LAR,Laramie Regional Airport,582
EWN,Coastal Carolina Regional Airport (Craven County Regional),575
INL,Falls International Airport,574
PIB,Hattiesburg-Laurel Regional Airport,573
ESC,Delta County Airport,573
HYS,Hays Regional Airport,573
CDC,Cedar City Regional Airport,573
APN,Alpena County Regional Airport,573
HOB,Lea County Regional Airport,571
EKO,Elko Regional Airport,531
DVL,Devils Lake Regional Airport,526
GUC,Gunnison-Crested Butte Regional Airport,495
ACK,Nantucket Memorial Airport,492
ADQ,Kodiak Airport,460
BGR,Bangor International Airport,368
GUM,Guam International Airport,334
IAG,Niagara Falls International Airport,322
MQT,Sawyer International Airport,305
PBG,Plattsburgh International Airport,282
OTH,Southwest Oregon Regional Airport (North Bend Municipal),275
PUB,Pueblo Memorial Airport,264
BGM,Greater Binghamton Airport,264
WYS,Westerly State Airport,208
CNY,Canyonlands Field,206
MVY,Martha's Vineyard Airport,205
VEL,Valdez Airport,205
CEC,Del Norte County Airport (Jack McNamara Field),190
MMH,Mammoth Yosemite Airport,156
UST,Northeast Florida Regional Airport (St. Augustine Airport),155
PPG,Pago Pago International Airport (Tafuna Airport),107
ILG,Wilmington Airport,98
ADK,Adak Airport,96
HYA,Barnstable Municipal Airport,83
STC,St. Cloud Regional Airport,82
GST,Gustavus Airport,77
DLG,Dillingham Airport,77
AKN,King Salmon Airport,63
ITH,Ithaca Tompkins Regional Airport,35
