f.origin_airport,ae.airport,cuenta
HIB,Range Regional Airport (Chisholm-Hibbing Airport),2
LCH,Lake Charles Regional Airport,2
MGM,Montgomery Regional Airport,2
MMH,Mammoth Yosemite Airport,2
MOT,Minot International Airport,2
MQT,Sawyer International Airport,2
MVY,Martha's Vineyard Airport,2
PBG,Plattsburgh International Airport,2
PIB,Hattiesburg-Laurel Regional Airport,2
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),2
SPI,Abraham Lincoln Capital Airport,2
TYR,Tyler Pounds Regional Airport,2
ORH,Worcester Regional Airport,2
FSM,Fort Smith Regional Airport,2
IAG,Niagara Falls International Airport,2
IMT,Ford Airport,2
MHK,Manhattan Regional Airport,2
DIK,Dickinson Theodore Roosevelt Regional Airport,2
CPR,Natrona County International Airport,2
CMI,University of Illinois - Willard Airport,2
CLL,Easterwood Airport,2
PSG,Petersburg James A. Johnson Airport,2
RHI,Rhinelander-Oneida County Airport,2
BRD,Brainerd Lakes Regional Airport,2
SCC,Deadhorse Airport (Prudhoe Bay Airport),2
AGS,Augusta Regional Airport (Bush Field),2
UST,Northeast Florida Regional Airport (St. Augustine Airport),2
GCK,Garden City Regional Airport,1
VLD,Valdosta Regional Airport,1
BQK,Brunswick Golden Isles Airport,1
PIH,Pocatello Regional Airport,1
OAJ,Albert J. Ellis Airport,1
GTR,Golden Triangle Regional Airport,1
ACT,Waco Regional Airport,1
DLG,Dillingham Airport,1
EAU,Chippewa Valley Regional Airport,1
TOL,Toledo Express Airport,1
ABR,Aberdeen Regional Airport,1
JLN,Joplin Regional Airport,1
CDC,Cedar City Regional Airport,1
BTM,Bert Mooney Airport,1
CLD,McClellan-Palomar Airport,1
PUB,Pueblo Memorial Airport,1
MKG,Muskegon County Airport,1
LWS,Lewiston-Nez Perce County Airport,1
HYS,Hays Regional Airport,1
HOB,Lea County Regional Airport,1
GUM,Guam International Airport,1
GFK,Grand Forks International Airport,1
DBQ,Dubuque Regional Airport,1
CSG,Columbus Metropolitan Airport,1
ITH,Ithaca Tompkins Regional Airport,1
ADK,Adak Airport,1
CMX,Houghton County Memorial Airport,1
STC,St. Cloud Regional Airport,1
CEC,Del Norte County Airport (Jack McNamara Field),1
